type_ID,type_name,description,category
320,Water Purifier,Duis at velit eu est congue elementum.,Protection
321,Laser Rangefinder,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,Optics
322,Medical Backpack,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Optics
323,Mobile Jammer,Nunc rhoncus dui vel sem.,Protection
324,Kevlar Vest,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Navigation
325,Infrared Scope,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Communication
326,Grenade Launcher,Maecenas tincidunt lacus at velit.,Utility
327,Medical Backpack,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,Protection
328,Tactical Radio,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Protection
329,Laser Rangefinder,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Weapon
330,Mine Detector,Nulla tellus. In sagittis dui vel nisl.,Surveillance
331,Bulletproof Shield,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",Weapon
332,Field Laptop,Integer tincidunt ante vel ipsum.,Weapon
333,Tactical Radio,Maecenas rhoncus aliquam lacus.,Optics
334,Cyber Defense Tablet,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,Optics
335,Sniper Rifle,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,Weapon
336,GPS Unit,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,Protection
337,Armored Backpack,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Optics
338,Riot Gear,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Optics
339,Infrared Scope,Duis aliquam convallis nunc.,Protection
340,Explosive Detector,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,Electronics
341,Grenade Launcher,Vivamus vel nulla eget eros elementum pellentesque.,Protection
342,Surveillance Drone,Nunc rhoncus dui vel sem.,Optics
343,Cyber Defense Tablet,Etiam pretium iaculis justo.,Protection
344,Emergency Beacon,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,Detection
345,Combat Boots,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,Protection
346,Medical Backpack,Cras pellentesque volutpat dui.,Protection
347,Night Vision Goggles,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Detection
348,Emergency Beacon,Donec vitae nisi.,Utility
349,Kevlar Vest,Maecenas rhoncus aliquam lacus.,Communication
350,Grenade Launcher,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Protection
351,Combat Knife,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,Protection
352,Bulletproof Shield,In sagittis dui vel nisl.,Weapon
353,Surveillance Drone,Aliquam non mauris. Morbi non lectus.,Electronics
354,Satellite Phone,Ut tellus. Nulla ut erat id mauris vulputate elementum.,Protection
355,Field Laptop,Ut at dolor quis odio consequat varius. Integer ac leo.,Detection
356,Field Laptop,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",Protection
357,Mine Detector,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Communication
358,Ammunition Crate,Pellentesque eget nunc.,Electronics
359,Medical Backpack,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Optics
360,Drone Controller,Proin eu mi.,Weapon
361,Kevlar Vest,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",Utility
362,Cyber Defense Tablet,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,Navigation
363,Surveillance Drone,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",Communication
364,Portable Radar,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Protection
365,Bulletproof Shield,Fusce consequat. Nulla nisl.,Clothing
366,Kevlar Vest,Nullam sit amet turpis elementum ligula vehicula consequat.,Camouflage
367,Ballistic Helmet,Suspendisse potenti. Nullam porttitor lacus at turpis.,Surveillance
368,Kevlar Vest,Nulla nisl. Nunc nisl.,Weapon
369,Mine Detector,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Electronics
370,Field Laptop,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",Electronics
371,Ballistic Helmet,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Detection
372,Riot Gear,Aenean fermentum.,Protection
373,Infrared Scope,Curabitur gravida nisi at nibh.,Medical
374,Night Vision Goggles,Vivamus in felis eu sapien cursus vestibulum.,Communication
375,Night Vision Goggles,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",Electronics
376,Thermal Camera,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",Clothing
377,Thermal Camera,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Medical
378,Kevlar Vest,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Electronics
379,Infrared Scope,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Clothing
380,Water Purifier,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,Clothing
381,Drone Controller,Curabitur convallis.,Electronics
382,Ballistic Helmet,In eleifend quam a odio. In hac habitasse platea dictumst.,Ammunition
383,Satellite Phone,Phasellus in felis.,Medical
384,Combat Boots,Donec posuere metus vitae ipsum.,Electronics
385,Anti-Drone Gun,Integer ac leo.,Communication
386,Water Purifier,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Medical
387,Bulletproof Shield,Integer ac leo. Pellentesque ultrices mattis odio.,Detection
388,Kevlar Vest,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,Weapon
389,Cyber Defense Tablet,Sed ante. Vivamus tortor.,Navigation
390,Kevlar Vest,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Protection
391,Ballistic Helmet,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,Measurement
392,Mobile Jammer,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Optics
393,Sniper Rifle,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,Detection
394,Combat Knife,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Optics
395,Ammunition Crate,In quis justo.,Ammunition
396,Field Laptop,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",Navigation
397,Infrared Scope,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Communication
398,Anti-Drone Gun,Sed ante. Vivamus tortor.,Communication
399,Anti-Drone Gun,Nullam sit amet turpis elementum ligula vehicula consequat.,Weapon
400,Mine Detector,Donec ut dolor.,Protection
401,Surveillance Drone,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Detection
402,Surveillance Drone,Nam nulla.,Surveillance
403,Combat Boots,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Weapon
404,Mobile Jammer,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Protection
405,Cyber Defense Tablet,Mauris lacinia sapien quis libero.,Optics
406,Satellite Phone,Duis ac nibh.,Electronics
407,Camouflage Netting,In sagittis dui vel nisl. Duis ac nibh.,Ammunition
408,Drone Controller,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Communication
409,Satellite Phone,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Protection
410,Explosive Detector,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",Optics
411,Mine Detector,Ut at dolor quis odio consequat varius. Integer ac leo.,Detection
412,Cyber Defense Tablet,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Medical
413,Anti-Drone Gun,Quisque porta volutpat erat.,Surveillance
414,Satellite Phone,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,Optics
415,Laser Rangefinder,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Protection
416,Thermal Camera,Duis bibendum. Morbi non quam nec dui luctus rutrum.,Electronics
417,Emergency Beacon,Sed sagittis.,Weapon
418,Emergency Beacon,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Medical
419,Thermal Camera,Etiam justo.,Protection
420,Ballistic Helmet,Quisque ut erat.,Medical
421,Drone Controller,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Communication
422,Mine Detector,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Electronics
423,Camouflage Netting,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Camouflage
424,Drone Controller,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",Weapon
425,Explosive Detector,Donec dapibus.,Optics
426,Emergency Beacon,Suspendisse potenti.,Communication
427,Bulletproof Shield,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Navigation
428,Night Vision Goggles,Morbi porttitor lorem id ligula.,Protection
429,Satellite Phone,Aenean lectus.,Weapon
430,Night Vision Goggles,Nunc rhoncus dui vel sem. Sed sagittis.,Navigation
431,Bulletproof Shield,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Communication
432,Surveillance Drone,Nulla justo.,Electronics
433,Armored Backpack,Morbi ut odio.,Optics
434,Surveillance Drone,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Electronics
435,Surveillance Drone,Morbi porttitor lorem id ligula.,Protection
436,Mobile Jammer,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Protection
437,GPS Unit,In quis justo. Maecenas rhoncus aliquam lacus.,Weapon
438,Combat Boots,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Detection
439,Kevlar Vest,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Communication
440,Cyber Defense Tablet,Morbi a ipsum. Integer a nibh.,Detection
441,Grenade Launcher,Integer ac neque.,Optics
442,Portable Radar,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Electronics
443,Anti-Drone Gun,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",Protection
444,Armored Backpack,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",Medical
445,Anti-Drone Gun,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Electronics
446,GPS Unit,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,Communication
447,Kevlar Vest,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Detection
448,Tactical Radio,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Camouflage
449,Surveillance Drone,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,Protection
450,Satellite Phone,Suspendisse potenti.,Detection
451,Grenade Launcher,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,Weapon
452,Bulletproof Shield,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Surveillance
453,Ballistic Helmet,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Protection
454,Infrared Scope,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,Communication
455,Anti-Drone Gun,Vivamus vestibulum sagittis sapien.,Cybersecurity
456,Tactical Radio,Maecenas rhoncus aliquam lacus.,Protection
457,Grenade Launcher,Donec dapibus. Duis at velit eu est congue elementum.,Cybersecurity
458,Cyber Defense Tablet,Nunc rhoncus dui vel sem.,Detection
459,Surveillance Drone,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Communication
460,Mine Detector,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,Weapon
461,Sniper Rifle,Cras in purus eu magna vulputate luctus.,Protection
462,Laser Rangefinder,Nam nulla.,Protection
463,Satellite Phone,Maecenas ut massa quis augue luctus tincidunt.,Protection
464,Thermal Camera,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Detection
465,Bulletproof Shield,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Communication
466,Drone Controller,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Protection
467,Bulletproof Shield,Phasellus in felis. Donec semper sapien a libero.,Optics
468,Ammunition Crate,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",Optics
469,Thermal Camera,Duis mattis egestas metus. Aenean fermentum.,Detection
470,Riot Gear,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,Protection
471,Thermal Camera,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",Weapon
472,Combat Boots,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Optics
473,Drone Controller,Morbi non lectus.,Protection
474,Medical Backpack,Etiam faucibus cursus urna.,Medical
475,Combat Boots,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Electronics
476,Explosive Detector,Curabitur at ipsum ac tellus semper interdum.,Surveillance
477,Armored Backpack,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Weapon
478,Water Purifier,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Medical
479,Laser Rangefinder,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",Protection
480,Surveillance Drone,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,Clothing
481,Grenade Launcher,Morbi quis tortor id nulla ultrices aliquet.,Electronics
482,Surveillance Drone,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Detection
483,Night Vision Goggles,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,Optics
484,Field Laptop,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,Weapon
485,Bulletproof Shield,Curabitur gravida nisi at nibh.,Clothing
486,Night Vision Goggles,Etiam justo.,Communication
487,Mine Detector,Vestibulum rutrum rutrum neque.,Detection
488,Bulletproof Shield,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",Clothing
489,Combat Boots,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",Protection
490,Riot Gear,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Electronics
491,Bulletproof Shield,Nulla tempus.,Optics
492,Combat Knife,Suspendisse accumsan tortor quis turpis. Sed ante.,Communication
493,Emergency Beacon,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Protection
494,Explosive Detector,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",Weapon
495,Water Purifier,Fusce consequat.,Communication
496,Laser Rangefinder,In sagittis dui vel nisl. Duis ac nibh.,Detection
497,Satellite Phone,Suspendisse potenti.,Communication
498,Grenade Launcher,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Surveillance
499,Thermal Camera,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",Navigation
500,Mine Detector,Integer a nibh. In quis justo.,Weapon
